variable,n_non_null,min,max,mean,range_min,range_max,n_out_of_range,out_of_range_pct,constant
lab_esr_age,7689,7365.0,7685628.0,1437072.8748,,,,,0
lab_fib,61291,78.0,749.0,328.71,,,,,0
lab_fib_age,61291,33.0,7105423.0,368293.4354,,,,,0
lab_gfr,67968,2.3,1055.4,86.3675,,,,,0
lab_gfr_age,67968,37.0,7595578.0,261450.9003,,,,,0
lab_gluc,63224,58.0,650.0,122.9193,20,1000,0,0.0,0
lab_gluc_age,63224,37.0,7707362.0,370005.1163,,,,,0
lab_hb,67180,5.8,19.3,12.6632,3,25,0,0.0,0
lab_hb_age,67180,119.0,7707271.0,254408.2203,,,,,0
lab_hco3,3243,15.2,42.7,25.8153,5,50,0,0.0,0
lab_hco3_age,3243,987.0,7611283.0,2341222.5211,,,,,0
lab_hct,67237,18.1,60.4,38.4258,,,,,0
lab_hct_age,67237,119.0,7707271.0,254323.192,,,,,0
lab_ica,13639,0.78,1.81,1.1837,,,,,0
lab_ica_age,13639,987.0,7775687.0,1136302.5655,,,,,0
lab_k,72169,2.3,7.5,4.1547,1,10,0,0.0,0
lab_k_age,72169,37.0,7332399.0,238427.9864,,,,,0
lab_lac,3243,0.3,14.8,1.571,0,30,0,0.0,0
lab_lac_age,3243,987.0,7611283.0,2341222.5211,,,,,0
lab_na,72169,111.0,148.0,140.2933,100,200,0,0.0,0
lab_na_age,72169,37.0,7332399.0,238521.4225,,,,,0
lab_p,38690,1.7,9.5,3.5987,,,,,0
lab_p_age,38690,37.0,7333228.0,264286.012,,,,,0
lab_pco2,3243,19.0,69.0,39.7909,10,150,0,0.0,0
lab_pco2_age,3243,987.0,7611283.0,2341222.5211,,,,,0
lab_ph,3243,7.22,7.69,7.4226,6.5,8.0,0,0.0,0
lab_ph_age,3243,987.0,7611283.0,2341222.5211,,,,,0
lab_plt,67063,11.0,970.0,229.243,5,2000,0,0.0,0
lab_plt_age,67063,119.0,7707271.0,256771.8161,,,,,0
lab_po2,3243,8.0,565.0,136.2834,0,700,0,0.0,0
lab_po2_age,3243,987.0,7611283.0,2341222.5211,,,,,0
lab_pt_pct,64528,24.0,147.0,100.269,,,,,0
lab_pt_pct_age,64528,33.0,7105423.0,348816.74,,,,,0
lab_ptinr,64528,0.79,2.83,1.0212,,,,,0
lab_ptinr_age,64528,33.0,7105423.0,348816.74,,,,,0
lab_ptsec,64528,9.0,32.8,11.6395,,,,,0
lab_ptsec_age,64528,33.0,7105423.0,348816.74,,,,,0
lab_sao2,3243,6.0,100.0,89.9118,,,,,0
lab_sao2_age,3243,987.0,7611283.0,2341222.5211,,,,,0
lab_tbil,68247,0.1,30.5,0.7848,,,,,0
lab_tbil_age,68247,37.0,7595578.0,263949.7019,,,,,0
lab_tprot,68247,3.9,8.9,6.942,,,,,0
lab_tprot_age,68247,37.0,7595578.0,263013.7167,,,,,0
lab_wbc,67180,0.36,70.54,6.462,,,,,0
lab_wbc_age,67180,119.0,7707271.0,254408.2203,,,,,0
mac,60818,0.0,3.1,0.0106,0,3,1,0.002,0
map_below_55_sec,84813,0,300,4.5765,,,,,0
map_below_65_sec,84813,0,300,19.8231,,,,,0
map_current,83145,-70.0,347.0,82.0128,,,,,0
map_delta_abs,83145,-371.0,382.0,-0.3087,,,,,0
map_delta_pct,82778,-87.75,277.0,0.0295,,,,,0
map_n_pts_short,84813,0,5,4.697,,,,,0
map_slope_long,82707,-353.748,315.998,0.1336,,,,,0
map_slope_short,82022,-457.532,315.998,0.1323,,,,,0
map_trend_code,82707,-1.0,1.0,0.0007,,,,,0
n_actions_hist,84813,0,9,2.6184,,,,,0
n_drug_points,84813,0,54,37.4438,,,,,0
n_drug_signals,84813,0,6,4.9458,,,,,0
n_events,84813,0,5,1.3182,,,,,0
n_stale_9999,84813,0,9,2.5296,,,,,0
n_vitals_points_x,84813,6,81,65.3218,,,,,0
n_vitals_points_y,84813,0,81,55.2148,,,,,0
n_vitals_signals,84813,0,9,6.4114,,,,,0
propofol_ce_current,84195,0.0,870.912,3.045,,,,,0
propofol_ce_delta_abs,84195,-671088.625,867.91,-7.7415,,,,,0
propofol_ce_delta_pct,76533,-1.0,5896.0,2.8851,,,,,0
propofol_ce_n_pts_short,84813,0,5,4.9038,,,,,0
propofol_ce_slope_long,83940,-41465.6386,31.0598,-0.4653,,,,,0
propofol_ce_slope_short,83330,-3.3902,347.004,0.0203,,,,,0
propofol_ce_trend_code,83940,-1.0,1.0,-0.0726,,,,,0
pt_adm,84813,-7156680,-15420,-272658.999,,,,,0
pt_age,84813,6.0,92.0,58.6088,0,120,0,0.0,0
pt_aneend,84813,-3691470416.0,110709.0,-1856525.0689,,,,,0
pt_anestart,84813,-13069,1984,-798.3107,,,,,0
pt_asa,83179,1.0,6.0,1.9457,,,,,0
pt_bmi,84813,11.5,43.2,23.2349,5,80,0,0.0,0
pt_caseend,84813,2047,62494,15151.2656,,,,,0
pt_caseid,84813,3,6383,3247.685,,,,,0
pt_casestart,84813,0,0,0.0,,,,,1
pt_death_inhosp,84813,0,1,0.0066,,,,,0
pt_dis,84813,-54420,19307880,772152.1503,,,,,0
pt_emop,84813,0,1,0.0834,,,,,0
pt_height,84813,97.0,188.6,162.8686,50,250,0,0.0,0
pt_icu_days,84813,0,179,0.7585,,,,,0
pt_intraop_ca,84813,0,15900,211.64,,,,,0
pt_intraop_colloid,84813,0,1900,45.7207,,,,,0
pt_intraop_crystalloid,82520,20.0,23800.0,1533.9972,,,,,0
pt_intraop_ebl,64234,0.0,28500.0,506.0725,,,,,0
pt_intraop_eph,84813,0,115,8.7163,,,,,0
pt_intraop_epi,84813,0,1175,3.385,,,,,0
pt_intraop_ffp,84813,0,32,0.2033,,,,,0
pt_intraop_ftn,84813,0,100,0.1442,,,,,0
pt_intraop_mdz,84813,0.0,6.0,0.0167,,,,,0
pt_intraop_phe,84813,0,2950,52.9336,,,,,0
pt_intraop_ppf,84813,0,120,0.2216,,,,,0
pt_intraop_rbc,84813,0,59,0.4501,,,,,0
pt_intraop_rocu,84813,0,330,91.5282,,,,,0
pt_intraop_uo,61795,0.0,5100.0,309.0104,,,,,0
pt_intraop_vecu,84813,0,20,0.0274,,,,,0
pt_lmasize,51,3.0,4.0,3.7451,,,,,0
pt_opend,84788,1467,60503,14117.8203,,,,,0
pt_opstart,84813,307,7668,2604.843,,,,,0
pt_preop_alb,79676,0.7,5.3,4.0375,,,,,0
pt_preop_alt,79739,1.0,2231.0,27.3797,,,,,0
pt_preop_aptt,79475,19.7,97.4,32.7232,,,,,0
pt_preop_ast,79782,2.0,2871.0,28.5018,,,,,0
pt_preop_be,6849,-14.4,8.2,-0.3733,,,,,0
pt_preop_bun,79795,3.0,120.0,16.9889,,,,,0
pt_preop_cr,79739,0.2,18.22,1.1946,,,,,0
pt_preop_dm,84813,0,1,0.1244,,,,,0
pt_preop_gluc,79513,55.0,525.0,119.6628,,,,,0
pt_preop_hb,80205,6.0,19.3,12.7796,,,,,0
pt_preop_hco3,6875,12.1,31.5,24.081,,,,,0
pt_preop_htn,84813,0,1,0.3315,,,,,0
pt_preop_k,77604,2.6,6.3,4.1941,,,,,0
pt_preop_na,77561,111.0,148.0,140.0566,,,,,0
pt_preop_paco2,7041,16.5,76.9,39.9706,,,,,0
pt_preop_pao2,7041,3.1,267.8,105.1909,,,,,0
pt_preop_ph,7172,4.221,8.0,7.3693,,,,,0
pt_preop_plt,80185,14.0,1156.0,234.4653,,,,,0
pt_preop_pt,79586,24.0,153.0,100.0665,,,,,0
pt_preop_sao2,6875,12.3,100.0,93.4907,,,,,0
pt_subjectid,84813,2,6090,3050.1466,,,,,0
pt_tubesize,62003,5.0,8.5,7.2685,,,,,0
pt_weight,84813,14.0,139.7,61.8073,1,300,0,0.0,0
remi_ce_current,84178,0.0,18.003,3.6948,,,,,0
remi_ce_delta_abs,84178,-10.137,12.568,0.1952,,,,,0
remi_ce_delta_pct,77587,-1.0,6525.0,4.7063,,,,,0
remi_ce_n_pts_short,84813,0,5,4.9007,,,,,0
remi_ce_slope_long,83911,-1.1002,3.3104,0.0284,,,,,0
remi_ce_slope_short,83270,-3.6679,4.4214,0.0076,,,,,0
remi_ce_trend_code,83911,-1.0,1.0,-0.0976,,,,,0
schema_version,84813,4,4,4.0,,,,,1
set_fio2,60769,21.0,100.0,58.6989,0,100,0,0.0,0
set_peep,58060,0.0,10.0,2.5242,0,30,0,0.0,0
set_rr,58060,7.0,28.0,14.5174,0,50,0,0.0,0
