variable,type,overall,dev,train,test,easy,medium,hard
pt_preop_htn,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
pt_preop_k,field,91.50,93.38,91.40,92.82,88.95,90.85,94.76
pt_preop_na,field,91.45,93.38,91.35,92.82,88.82,90.80,94.76
pt_preop_paco2,field,8.30,0.00,8.30,9.03,9.29,8.26,7.62
pt_preop_pao2,field,8.30,0.00,8.30,9.03,9.29,8.26,7.62
pt_preop_pft,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
pt_preop_ph,field,8.46,0.00,8.46,9.03,9.62,8.35,7.76
pt_preop_plt,field,94.54,97.16,94.52,94.73,92.93,94.34,96.19
pt_preop_pt,field,93.84,97.16,93.91,92.39,91.69,93.28,96.60
pt_preop_sao2,field,8.11,0.00,8.09,9.03,9.07,8.11,7.36
pt_sex,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
pt_subjectid,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
pt_tubesize,field,73.11,89.36,72.82,76.12,61.17,70.13,88.18
pt_weight,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
remi_causal_flag,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
remi_ce_current,field,99.25,100.00,99.23,99.44,98.54,99.30,99.69
remi_ce_delta_abs,field,99.25,100.00,99.23,99.44,98.54,99.30,99.69
remi_ce_delta_pct,field,91.48,90.31,91.49,91.45,86.38,91.90,94.55
remi_ce_n_pts_short,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
remi_ce_slope_long,field,98.94,100.00,98.92,99.13,98.13,98.92,99.58
remi_ce_slope_short,field,98.18,99.53,98.14,98.63,96.77,98.16,99.30
remi_ce_trend,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
remi_ce_trend_code,field,98.94,100.00,98.92,99.13,98.13,98.92,99.58
schema_version,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
set_fio2,field,71.65,10.64,72.20,68.28,66.30,73.84,71.42
set_peep,field,68.46,10.40,69.00,64.90,62.15,70.73,68.79
set_rr,field,68.46,10.40,69.00,64.90,62.15,70.73,68.79
set_tv,field,66.66,10.40,67.25,62.18,60.55,68.80,67.09
spo2_current,field,99.94,100.00,99.93,100.00,99.99,99.89,99.99
spo2_delta_abs,field,99.94,100.00,99.93,100.00,99.99,99.89,99.99
spo2_delta_pct,field,99.94,100.00,99.93,100.00,99.99,99.89,99.99
spo2_n_pts_short,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
spo2_slope_long,field,99.88,100.00,99.87,99.94,99.95,99.82,99.94
spo2_slope_short,field,99.26,97.64,99.27,99.21,99.21,99.23,99.36
spo2_trend,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
spo2_trend_code,field,99.88,100.00,99.87,99.94,99.95,99.82,99.94
staleness_json,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
staleness_max,field,63.74,0.00,64.37,59.38,60.24,66.19,61.59
surgery_pct,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
time_since_induction_sec,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
vitals_json,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
window_id,field,100.00,100.00,100.00,100.00,100.00,100.00,100.00
MAP,vital,98.03,90.07,98.08,97.99,99.27,98.45,96.26
HR,vital,99.99,100.00,99.98,100.00,99.99,99.98,100.00
BIS,vital,94.14,14.18,94.59,93.75,96.60,94.92,90.70
SBP,vital,97.86,90.07,97.89,97.99,99.23,98.26,95.99
DBP,vital,97.86,90.07,97.89,97.99,99.23,98.26,95.99
PPV,vital,67.47,0.00,68.01,64.61,62.11,69.93,66.68
SVV,vital,66.03,0.00,66.62,62.51,61.17,68.52,64.83
SpO2,vital,99.94,100.00,99.93,100.00,99.99,99.89,99.99
EtCO2,vital,98.42,93.62,98.43,98.65,97.98,98.68,98.26
