actual,increase_hypnotic,reduce_hypnotic,increase_opioid,reduce_opioid,no_action
increase_hypnotic,130,21,31,7,99
reduce_hypnotic,63,205,31,12,140
increase_opioid,259,157,107,18,281
reduce_opioid,246,253,65,54,316
no_action,290,196,80,20,343
