actual,increase_hypnotic,reduce_hypnotic,increase_opioid,reduce_opioid,no_action
increase_hypnotic,113,42,6,1,126
reduce_hypnotic,31,240,1,5,174
increase_opioid,132,309,14,4,363
reduce_opioid,133,364,4,6,427
no_action,92,427,8,9,393
