actual,increase_hypnotic,reduce_hypnotic,increase_opioid,reduce_opioid,no_action
increase_hypnotic,78,22,9,1,178
reduce_hypnotic,21,216,2,5,207
increase_opioid,98,220,17,4,483
reduce_opioid,96,285,6,6,541
no_action,68,305,8,9,539
