actual,increase_hypnotic,reduce_hypnotic,increase_opioid,reduce_opioid,no_action
increase_hypnotic,33,173,4,70,8
reduce_hypnotic,30,295,7,107,12
increase_opioid,109,452,15,231,15
reduce_opioid,88,536,12,284,14
no_action,113,478,23,289,26
