actual,increase_hypnotic,reduce_hypnotic,increase_opioid,reduce_opioid,no_action
increase_hypnotic,90,24,62,32,80
reduce_hypnotic,16,244,65,43,83
increase_opioid,116,196,228,78,204
reduce_opioid,91,306,142,159,236
no_action,94,290,161,82,302
