actual,increase_hypnotic,reduce_hypnotic,increase_opioid,reduce_opioid,no_action
increase_hypnotic,126,44,9,1,108
reduce_hypnotic,83,156,2,5,205
increase_opioid,239,209,12,4,358
reduce_opioid,238,218,4,6,468
no_action,285,243,3,9,389
